dataset_dir: /datasets/
dataset_name: ImageNet
global_batch_size: 64
workers: 6
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8_10_13_16
importance: (1, 1, 1, 2, 2, 2, 3, 3, 5, 5)
max_patch_size: 16
codebook_size: 4096
codebook_dim: 16
project_dim: 8
pq: 1
L: 4
chunks: 2
alpha: 1.0
beta: 1.0
gamma: 0.5
disc_weight: 0.4
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: fsq
use_multiscale: False
transplant_epochs: 2
refinement_epochs: 5
eval_epochs: 1
disc_epoch: 1
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 1e-05
stage: refinement
checkpoint_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/checkpoint/Refinement/ImageNet
results_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/results/Refinement/ImageNet
saver_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/saver/Refinement/ImageNet
reconstruction_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/reconstruction/Refinement/ImageNet
yaml_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/yaml/Refinement/ImageNet
pretrained_tokenizer: /project/6105494/sunset/VQ-Projects/VQ-Transplant/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_name: checkpoint-fsq_transplant_ImageNet_model_8_2_4_loss_1.0_0.4.pth.tar
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 32
ms_token_size: (1, 2, 3, 4, 5, 6, 8, 10, 13, 16)
init_checkpoint_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/checkpoint/
data_pre: ImageNet
model_pre: model_8_2_4
loss_pre: loss_1.0_0.4
training_pre: fsq_refinement
saver_name_pre: fsq_refinement_ImageNet_model_8_2_4_loss_1.0_0.4
| distributed init (rank 0): env://
| distributed init (rank 1): env://
VQ Model Parameters: 108761795
loaded pretrained LPIPS loss from /project/6105494/sunset/VQ-Projects/VQ-Transplant/code/models/cache/vgg.pth
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
epoch:1, cur_lr:0.000010
Train Epoch: [1/5] Iters:[10/20018] gen_loss 1.3524, rec_loss 0.0284, lpips_loss 0.2275, g_loss 0.2033, disc_weight 0.4000, disc_adaptive_weight 4.8135, d_loss 2.4849, logits_real -0.1200, logits_fake -0.1994,
Train Epoch: [4/5] Iters:[3640/20018] gen_loss 0.2827, rec_loss 0.0342, lpips_loss 0.2108, g_loss 0.0076, disc_weight 0.4000, disc_adaptive_weight 4.8923, d_loss 0.4002, logits_real -0.0074, logits_fake -0.0074,
Train Epoch: [4/5] Iters:[3650/20018] gen_loss 0.2824, rec_loss 0.0351, lpips_loss 0.2122, g_loss 0.0070, disc_weight 0.4000, disc_adaptive_weight 4.9940, d_loss 0.4002, logits_real -0.0068, logits_fake -0.0069,
Train Epoch: [4/5] Iters:[3660/20018] gen_loss 0.2814, rec_loss 0.0351, lpips_loss 0.2135, g_loss 0.0066, disc_weight 0.4000, disc_adaptive_weight 4.9719, d_loss 0.4002, logits_real -0.0065, logits_fake -0.0065,
Train Epoch: [4/5] Iters:[3670/20018] gen_loss 0.2840, rec_loss 0.0357, lpips_loss 0.2148, g_loss 0.0064, disc_weight 0.4000, disc_adaptive_weight 5.1655, d_loss 0.4002, logits_real -0.0062, logits_fake -0.0063,
Train Epoch: [4/5] Iters:[3680/20018] gen_loss 0.2851, rec_loss 0.0359, lpips_loss 0.2149, g_loss 0.0064, disc_weight 0.4000, disc_adaptive_weight 5.2733, d_loss 0.4002, logits_real -0.0062, logits_fake -0.0063,
Train Epoch: [4/5] Iters:[3690/20018] gen_loss 0.2868, rec_loss 0.0361, lpips_loss 0.2168, g_loss 0.0065, disc_weight 0.4000, disc_adaptive_weight 5.1922, d_loss 0.4002, logits_real -0.0062, logits_fake -0.0062,
Train Epoch: [4/5] Iters:[3700/20018] gen_loss 0.2875, rec_loss 0.0358, lpips_loss 0.2176, g_loss 0.0067, disc_weight 0.4000, disc_adaptive_weight 5.0546, d_loss 0.4002, logits_real -0.0064, logits_fake -0.0065,
Train Epoch: [4/5] Iters:[3710/20018] gen_loss 0.2885, rec_loss 0.0357, lpips_loss 0.2183, g_loss 0.0070, disc_weight 0.4000, disc_adaptive_weight 4.9024, d_loss 0.4001, logits_real -0.0065, logits_fake -0.0068,
Train Epoch: [4/5] Iters:[3720/20018] gen_loss 0.2856, rec_loss 0.0352, lpips_loss 0.2174, g_loss 0.0073, disc_weight 0.4000, disc_adaptive_weight 4.5737, d_loss 0.4001, logits_real -0.0067, logits_fake -0.0071,
Train Epoch: [4/5] Iters:[3730/20018] gen_loss 0.2845, rec_loss 0.0344, lpips_loss 0.2169, g_loss 0.0075, disc_weight 0.4000, disc_adaptive_weight 4.4497, d_loss 0.4001, logits_real -0.0069, logits_fake -0.0074,
Train Epoch: [4/5] Iters:[3740/20018] gen_loss 0.2846, rec_loss 0.0344, lpips_loss 0.2159, g_loss 0.0075, disc_weight 0.4000, disc_adaptive_weight 4.5709, d_loss 0.4001, logits_real -0.0071, logits_fake -0.0078,
Train Epoch: [4/5] Iters:[3750/20018] gen_loss 0.2838, rec_loss 0.0346, lpips_loss 0.2148, g_loss 0.0073, disc_weight 0.4000, disc_adaptive_weight 4.7459, d_loss 0.4001, logits_real -0.0069, logits_fake -0.0074,
Train Epoch: [4/5] Iters:[3760/20018] gen_loss 0.2825, rec_loss 0.0349, lpips_loss 0.2144, g_loss 0.0068, disc_weight 0.4000, disc_adaptive_weight 4.9758, d_loss 0.4001, logits_real -0.0066, logits_fake -0.0070,
Train Epoch: [4/5] Iters:[3770/20018] gen_loss 0.2844, rec_loss 0.0353, lpips_loss 0.2144, g_loss 0.0063, disc_weight 0.4000, disc_adaptive_weight 5.4886, d_loss 0.4001, logits_real -0.0062, logits_fake -0.0065,
Train Epoch: [4/5] Iters:[3780/20018] gen_loss 0.2804, rec_loss 0.0360, lpips_loss 0.2132, g_loss 0.0056, disc_weight 0.4000, disc_adaptive_weight 5.5042, d_loss 0.4001, logits_real -0.0055, logits_fake -0.0057,
Train Epoch: [4/5] Iters:[3790/20018] gen_loss 0.2758, rec_loss 0.0353, lpips_loss 0.2133, g_loss 0.0049, disc_weight 0.4000, disc_adaptive_weight 5.3916, d_loss 0.4001, logits_real -0.0048, logits_fake -0.0051,
Train Epoch: [4/5] Iters:[3800/20018] gen_loss 0.2723, rec_loss 0.0351, lpips_loss 0.2133, g_loss 0.0045, disc_weight 0.4000, disc_adaptive_weight 5.2188, d_loss 0.4002, logits_real -0.0045, logits_fake -0.0046,
Train Epoch: [4/5] Iters:[3810/20018] gen_loss 0.2695, rec_loss 0.0352, lpips_loss 0.2124, g_loss 0.0042, disc_weight 0.4000, disc_adaptive_weight 5.0101, d_loss 0.4001, logits_real -0.0041, logits_fake -0.0044,
Train Epoch: [4/5] Iters:[3820/20018] gen_loss 0.2682, rec_loss 0.0354, lpips_loss 0.2130, g_loss 0.0040, disc_weight 0.4000, disc_adaptive_weight 4.9449, d_loss 0.4001, logits_real -0.0039, logits_fake -0.0041,
Train Epoch: [4/5] Iters:[3830/20018] gen_loss 0.2698, rec_loss 0.0351, lpips_loss 0.2143, g_loss 0.0039, disc_weight 0.4000, disc_adaptive_weight 5.1685, d_loss 0.4002, logits_real -0.0039, logits_fake -0.0040,
Train Epoch: [4/5] Iters:[3840/20018] gen_loss 0.2705, rec_loss 0.0365, lpips_loss 0.2156, g_loss 0.0035, disc_weight 0.4000, disc_adaptive_weight 5.2715, d_loss 0.4002, logits_real -0.0036, logits_fake -0.0036,
Train Epoch: [4/5] Iters:[3850/20018] gen_loss 0.2690, rec_loss 0.0367, lpips_loss 0.2150, g_loss 0.0032, disc_weight 0.4000, disc_adaptive_weight 5.3270, d_loss 0.4002, logits_real -0.0034, logits_fake -0.0034,
Train Epoch: [4/5] Iters:[3860/20018] gen_loss 0.2673, rec_loss 0.0362, lpips_loss 0.2149, g_loss 0.0029, disc_weight 0.4000, disc_adaptive_weight 5.4137, d_loss 0.4002, logits_real -0.0031, logits_fake -0.0031,
Train Epoch: [4/5] Iters:[3870/20018] gen_loss 0.2657, rec_loss 0.0355, lpips_loss 0.2150, g_loss 0.0030, disc_weight 0.4000, disc_adaptive_weight 5.1362, d_loss 0.4001, logits_real -0.0031, logits_fake -0.0034,
Train Epoch: [4/5] Iters:[3880/20018] gen_loss 0.2633, rec_loss 0.0346, lpips_loss 0.2130, g_loss 0.0032, disc_weight 0.4000, disc_adaptive_weight 4.9522, d_loss 0.4001, logits_real -0.0032, logits_fake -0.0037,
Train Epoch: [4/5] Iters:[3890/20018] gen_loss 0.2649, rec_loss 0.0337, lpips_loss 0.2111, g_loss 0.0041, disc_weight 0.4000, disc_adaptive_weight 4.8620, d_loss 0.4001, logits_real -0.0040, logits_fake -0.0044,
Train Epoch: [4/5] Iters:[3900/20018] gen_loss 0.2688, rec_loss 0.0330, lpips_loss 0.2107, g_loss 0.0050, disc_weight 0.4000, disc_adaptive_weight 4.8944, d_loss 0.4001, logits_real -0.0049, logits_fake -0.0054,
Train Epoch: [4/5] Iters:[3910/20018] gen_loss 0.2738, rec_loss 0.0332, lpips_loss 0.2109, g_loss 0.0060, disc_weight 0.4000, disc_adaptive_weight 4.9058, d_loss 0.4001, logits_real -0.0057, logits_fake -0.0063,
Train Epoch: [4/5] Iters:[3920/20018] gen_loss 0.2761, rec_loss 0.0336, lpips_loss 0.2100, g_loss 0.0065, disc_weight 0.4000, disc_adaptive_weight 4.9800, d_loss 0.4001, logits_real -0.0063, logits_fake -0.0068,
Train Epoch: [4/5] Iters:[3930/20018] gen_loss 0.2809, rec_loss 0.0343, lpips_loss 0.2118, g_loss 0.0069, disc_weight 0.4000, disc_adaptive_weight 5.0080, d_loss 0.4001, logits_real -0.0068, logits_fake -0.0071,
Train Epoch: [4/5] Iters:[3940/20018] gen_loss 0.2821, rec_loss 0.0343, lpips_loss 0.2124, g_loss 0.0071, disc_weight 0.4000, disc_adaptive_weight 4.9639, d_loss 0.4001, logits_real -0.0070, logits_fake -0.0073,
Train Epoch: [4/5] Iters:[3950/20018] gen_loss 0.2859, rec_loss 0.0348, lpips_loss 0.2143, g_loss 0.0074, disc_weight 0.4000, disc_adaptive_weight 4.9342, d_loss 0.4001, logits_real -0.0071, logits_fake -0.0076,
Train Epoch: [4/5] Iters:[3960/20018] gen_loss 0.2860, rec_loss 0.0343, lpips_loss 0.2139, g_loss 0.0075, disc_weight 0.4000, disc_adaptive_weight 4.9556, d_loss 0.4001, logits_real -0.0074, logits_fake -0.0079,
Train Epoch: [4/5] Iters:[3970/20018] gen_loss 0.2859, rec_loss 0.0340, lpips_loss 0.2139, g_loss 0.0076, disc_weight 0.4000, disc_adaptive_weight 4.9091, d_loss 0.4002, logits_real -0.0076, logits_fake -0.0077,
Train Epoch: [4/5] Iters:[3980/20018] gen_loss 0.2835, rec_loss 0.0331, lpips_loss 0.2120, g_loss 0.0077, disc_weight 0.4000, disc_adaptive_weight 4.8498, d_loss 0.4002, logits_real -0.0077, logits_fake -0.0079,
Train Epoch: [4/5] Iters:[3990/20018] gen_loss 0.2839, rec_loss 0.0335, lpips_loss 0.2125, g_loss 0.0076, disc_weight 0.4000, disc_adaptive_weight 4.8965, d_loss 0.4001, logits_real -0.0075, logits_fake -0.0078,
Train Epoch: [4/5] Iters:[4000/20018] gen_loss 0.2810, rec_loss 0.0334, lpips_loss 0.2111, g_loss 0.0072, disc_weight 0.4000, disc_adaptive_weight 4.9989, d_loss 0.4002, logits_real -0.0072, logits_fake -0.0072,
Train Epoch: [4/5] Iters:[4010/20018] gen_loss 0.2789, rec_loss 0.0338, lpips_loss 0.2110, g_loss 0.0068, disc_weight 0.4000, disc_adaptive_weight 4.9355, d_loss 0.4002, logits_real -0.0068, logits_fake -0.0066,
Train Epoch: [4/5] Iters:[4020/20018] gen_loss 0.2784, rec_loss 0.0338, lpips_loss 0.2116, g_loss 0.0065, disc_weight 0.4000, disc_adaptive_weight 5.0063, d_loss 0.4002, logits_real -0.0065, logits_fake -0.0066,
Train Epoch: [4/5] Iters:[4030/20018] gen_loss 0.2776, rec_loss 0.0342, lpips_loss 0.2125, g_loss 0.0060, disc_weight 0.4000, disc_adaptive_weight 5.1766, d_loss 0.4002, logits_real -0.0060, logits_fake -0.0061,
Train Epoch: [4/5] Iters:[4040/20018] gen_loss 0.2742, rec_loss 0.0337, lpips_loss 0.2120, g_loss 0.0055, disc_weight 0.4000, disc_adaptive_weight 5.1057, d_loss 0.4002, logits_real -0.0057, logits_fake -0.0056,
Train Epoch: [4/5] Iters:[4050/20018] gen_loss 0.2720, rec_loss 0.0333, lpips_loss 0.2121, g_loss 0.0055, disc_weight 0.4000, disc_adaptive_weight 4.8699, d_loss 0.4002, logits_real -0.0054, logits_fake -0.0055,
Train Epoch: [4/5] Iters:[4060/20018] gen_loss 0.2734, rec_loss 0.0329, lpips_loss 0.2128, g_loss 0.0055, disc_weight 0.4000, disc_adaptive_weight 4.9922, d_loss 0.4001, logits_real -0.0053, logits_fake -0.0056,
Train Epoch: [4/5] Iters:[4070/20018] gen_loss 0.2753, rec_loss 0.0332, lpips_loss 0.2139, g_loss 0.0057, disc_weight 0.4000, disc_adaptive_weight 4.9026, d_loss 0.4001, logits_real -0.0054, logits_fake -0.0057,
Train Epoch: [4/5] Iters:[4080/20018] gen_loss 0.2772, rec_loss 0.0332, lpips_loss 0.2139, g_loss 0.0062, disc_weight 0.4000, disc_adaptive_weight 4.7787, d_loss 0.4001, logits_real -0.0057, logits_fake -0.0062,
Train Epoch: [4/5] Iters:[4090/20018] gen_loss 0.2801, rec_loss 0.0332, lpips_loss 0.2137, g_loss 0.0069, disc_weight 0.4000, disc_adaptive_weight 4.7575, d_loss 0.4001, logits_real -0.0061, logits_fake -0.0067,
Train Epoch: [4/5] Iters:[4100/20018] gen_loss 0.2817, rec_loss 0.0335, lpips_loss 0.2136, g_loss 0.0070, disc_weight 0.4000, disc_adaptive_weight 4.9034, d_loss 0.4001, logits_real -0.0065, logits_fake -0.0069,
Train Epoch: [4/5] Iters:[4110/20018] gen_loss 0.2808, rec_loss 0.0341, lpips_loss 0.2143, g_loss 0.0067, disc_weight 0.4000, disc_adaptive_weight 4.8010, d_loss 0.4001, logits_real -0.0063, logits_fake -0.0065,
Train Epoch: [4/5] Iters:[4120/20018] gen_loss 0.2785, rec_loss 0.0335, lpips_loss 0.2132, g_loss 0.0065, disc_weight 0.4000, disc_adaptive_weight 4.9437, d_loss 0.4002, logits_real -0.0062, logits_fake -0.0062,
Train Epoch: [4/5] Iters:[4130/20018] gen_loss 0.2774, rec_loss 0.0337, lpips_loss 0.2136, g_loss 0.0061, disc_weight 0.4000, disc_adaptive_weight 4.9447, d_loss 0.4002, logits_real -0.0060, logits_fake -0.0060,
Train Epoch: [4/5] Iters:[4140/20018] gen_loss 0.2767, rec_loss 0.0343, lpips_loss 0.2140, g_loss 0.0057, disc_weight 0.4000, disc_adaptive_weight 5.0320, d_loss 0.4002, logits_real -0.0058, logits_fake -0.0056,
Train Epoch: [4/5] Iters:[4150/20018] gen_loss 0.2751, rec_loss 0.0340, lpips_loss 0.2137, g_loss 0.0057, disc_weight 0.4000, disc_adaptive_weight 4.8631, d_loss 0.4002, logits_real -0.0056, logits_fake -0.0055,
Train Epoch: [4/5] Iters:[4160/20018] gen_loss 0.2762, rec_loss 0.0341, lpips_loss 0.2134, g_loss 0.0059, disc_weight 0.4000, disc_adaptive_weight 4.9007, d_loss 0.4001, logits_real -0.0057, logits_fake -0.0059,
Train Epoch: [4/5] Iters:[4170/20018] gen_loss 0.2756, rec_loss 0.0344, lpips_loss 0.2133, g_loss 0.0060, disc_weight 0.4000, disc_adaptive_weight 4.7122, d_loss 0.4001, logits_real -0.0059, logits_fake -0.0061,
Train Epoch: [4/5] Iters:[4180/20018] gen_loss 0.2731, rec_loss 0.0339, lpips_loss 0.2123, g_loss 0.0059, disc_weight 0.4000, disc_adaptive_weight 4.5502, d_loss 0.4001, logits_real -0.0058, logits_fake -0.0059,
Train Epoch: [4/5] Iters:[4190/20018] gen_loss 0.2724, rec_loss 0.0337, lpips_loss 0.2118, g_loss 0.0059, disc_weight 0.4000, disc_adaptive_weight 4.5377, d_loss 0.4001, logits_real -0.0058, logits_fake -0.0061,
Train Epoch: [4/5] Iters:[4200/20018] gen_loss 0.2719, rec_loss 0.0341, lpips_loss 0.2121, g_loss 0.0055, disc_weight 0.4000, disc_adaptive_weight 4.6587, d_loss 0.4001, logits_real -0.0055, logits_fake -0.0057,
Train Epoch: [4/5] Iters:[4210/20018] gen_loss 0.2706, rec_loss 0.0333, lpips_loss 0.2114, g_loss 0.0055, disc_weight 0.4000, disc_adaptive_weight 4.6720, d_loss 0.4001, logits_real -0.0053, logits_fake -0.0057,
Train Epoch: [4/5] Iters:[4220/20018] gen_loss 0.2720, rec_loss 0.0334, lpips_loss 0.2106, g_loss 0.0058, disc_weight 0.4000, disc_adaptive_weight 4.8282, d_loss 0.4001, logits_real -0.0053, logits_fake -0.0058,
Train Epoch: [4/5] Iters:[4230/20018] gen_loss 0.2751, rec_loss 0.0338, lpips_loss 0.2111, g_loss 0.0062, disc_weight 0.4000, disc_adaptive_weight 4.8779, d_loss 0.4001, logits_real -0.0058, logits_fake -0.0064,
Train Epoch: [4/5] Iters:[4240/20018] gen_loss 0.2769, rec_loss 0.0335, lpips_loss 0.2115, g_loss 0.0065, disc_weight 0.4000, disc_adaptive_weight 4.8867, d_loss 0.4001, logits_real -0.0063, logits_fake -0.0067,
Train Epoch: [4/5] Iters:[4250/20018] gen_loss 0.2799, rec_loss 0.0338, lpips_loss 0.2117, g_loss 0.0071, disc_weight 0.4000, disc_adaptive_weight 4.8204, d_loss 0.4001, logits_real -0.0068, logits_fake -0.0073,
Train Epoch: [4/5] Iters:[4260/20018] gen_loss 0.2834, rec_loss 0.0348, lpips_loss 0.2128, g_loss 0.0074, disc_weight 0.4000, disc_adaptive_weight 4.7924, d_loss 0.4001, logits_real -0.0073, logits_fake -0.0076,
Train Epoch: [4/5] Iters:[4270/20018] gen_loss 0.2851, rec_loss 0.0353, lpips_loss 0.2137, g_loss 0.0075, disc_weight 0.4000, disc_adaptive_weight 4.7699, d_loss 0.4002, logits_real -0.0075, logits_fake -0.0076,
Train Epoch: [4/5] Iters:[4280/20018] gen_loss 0.2861, rec_loss 0.0355, lpips_loss 0.2145, g_loss 0.0074, disc_weight 0.4000, disc_adaptive_weight 4.8463, d_loss 0.4002, logits_real -0.0073, logits_fake -0.0074,
Train Epoch: [4/5] Iters:[4290/20018] gen_loss 0.2875, rec_loss 0.0358, lpips_loss 0.2153, g_loss 0.0075, disc_weight 0.4000, disc_adaptive_weight 4.8205, d_loss 0.4002, logits_real -0.0072, logits_fake -0.0074,
Train Epoch: [4/5] Iters:[4300/20018] gen_loss 0.2864, rec_loss 0.0355, lpips_loss 0.2151, g_loss 0.0075, disc_weight 0.4000, disc_adaptive_weight 4.7720, d_loss 0.4002, logits_real -0.0073, logits_fake -0.0075,
Train Epoch: [4/5] Iters:[4310/20018] gen_loss 0.2866, rec_loss 0.0347, lpips_loss 0.2145, g_loss 0.0076, disc_weight 0.4000, disc_adaptive_weight 4.9059, d_loss 0.4001, logits_real -0.0074, logits_fake -0.0077,
Train Epoch: [4/5] Iters:[4320/20018] gen_loss 0.2858, rec_loss 0.0344, lpips_loss 0.2142, g_loss 0.0077, disc_weight 0.4000, disc_adaptive_weight 4.8055, d_loss 0.4002, logits_real -0.0077, logits_fake -0.0079,
Train Epoch: [4/5] Iters:[4330/20018] gen_loss 0.2853, rec_loss 0.0340, lpips_loss 0.2134, g_loss 0.0082, disc_weight 0.4000, disc_adaptive_weight 4.6363, d_loss 0.4001, logits_real -0.0078, logits_fake -0.0081,
Train Epoch: [4/5] Iters:[4340/20018] gen_loss 0.2849, rec_loss 0.0340, lpips_loss 0.2125, g_loss 0.0082, disc_weight 0.4000, disc_adaptive_weight 4.6676, d_loss 0.4001, logits_real -0.0080, logits_fake -0.0083,
Train Epoch: [4/5] Iters:[4350/20018] gen_loss 0.2884, rec_loss 0.0341, lpips_loss 0.2128, g_loss 0.0082, disc_weight 0.4000, disc_adaptive_weight 5.1020, d_loss 0.4001, logits_real -0.0079, logits_fake -0.0082,
Train Epoch: [4/5] Iters:[4360/20018] gen_loss 0.2874, rec_loss 0.0342, lpips_loss 0.2125, g_loss 0.0080, disc_weight 0.4000, disc_adaptive_weight 5.0864, d_loss 0.4001, logits_real -0.0078, logits_fake -0.0080,
Train Epoch: [4/5] Iters:[4370/20018] gen_loss 0.2861, rec_loss 0.0344, lpips_loss 0.2126, g_loss 0.0077, disc_weight 0.4000, disc_adaptive_weight 5.0949, d_loss 0.4001, logits_real -0.0073, logits_fake -0.0077,
Train Epoch: [4/5] Iters:[4380/20018] gen_loss 0.2863, rec_loss 0.0347, lpips_loss 0.2120, g_loss 0.0075, disc_weight 0.4000, disc_adaptive_weight 5.2588, d_loss 0.4001, logits_real -0.0074, logits_fake -0.0077,
Train Epoch: [4/5] Iters:[4390/20018] gen_loss 0.2858, rec_loss 0.0350, lpips_loss 0.2125, g_loss 0.0074, disc_weight 0.4000, disc_adaptive_weight 5.1212, d_loss 0.4001, logits_real -0.0074, logits_fake -0.0077,
Train Epoch: [4/5] Iters:[4400/20018] gen_loss 0.2851, rec_loss 0.0350, lpips_loss 0.2121, g_loss 0.0077, disc_weight 0.4000, disc_adaptive_weight 4.9328, d_loss 0.4002, logits_real -0.0078, logits_fake -0.0078,
Train Epoch: [4/5] Iters:[4410/20018] gen_loss 0.2865, rec_loss 0.0356, lpips_loss 0.2130, g_loss 0.0078, disc_weight 0.4000, disc_adaptive_weight 4.8258, d_loss 0.4001, logits_real -0.0077, logits_fake -0.0079,
Train Epoch: [4/5] Iters:[4420/20018] gen_loss 0.2890, rec_loss 0.0358, lpips_loss 0.2134, g_loss 0.0080, disc_weight 0.4000, disc_adaptive_weight 4.9390, d_loss 0.4002, logits_real -0.0079, logits_fake -0.0080,
Train Epoch: [4/5] Iters:[4430/20018] gen_loss 0.2906, rec_loss 0.0354, lpips_loss 0.2146, g_loss 0.0080, disc_weight 0.4000, disc_adaptive_weight 5.0593, d_loss 0.4002, logits_real -0.0079, logits_fake -0.0078,
Train Epoch: [4/5] Iters:[4440/20018] gen_loss 0.2899, rec_loss 0.0348, lpips_loss 0.2138, g_loss 0.0081, disc_weight 0.4000, disc_adaptive_weight 5.0604, d_loss 0.4002, logits_real -0.0078, logits_fake -0.0078,
Train Epoch: [4/5] Iters:[4450/20018] gen_loss 0.2909, rec_loss 0.0349, lpips_loss 0.2144, g_loss 0.0082, disc_weight 0.4000, disc_adaptive_weight 5.0564, d_loss 0.4001, logits_real -0.0076, logits_fake -0.0079,
Train Epoch: [4/5] Iters:[4460/20018] gen_loss 0.2920, rec_loss 0.0348, lpips_loss 0.2142, g_loss 0.0083, disc_weight 0.4000, disc_adaptive_weight 5.1289, d_loss 0.4002, logits_real -0.0079, logits_fake -0.0081,
Train Epoch: [4/5] Iters:[4470/20018] gen_loss 0.2930, rec_loss 0.0346, lpips_loss 0.2140, g_loss 0.0084, disc_weight 0.4000, disc_adaptive_weight 5.2587, d_loss 0.4001, logits_real -0.0080, logits_fake -0.0083,
Train Epoch: [4/5] Iters:[4480/20018] gen_loss 0.2919, rec_loss 0.0354, lpips_loss 0.2142, g_loss 0.0081, disc_weight 0.4000, disc_adaptive_weight 5.1925, d_loss 0.4001, logits_real -0.0079, logits_fake -0.0082,
Train Epoch: [4/5] Iters:[4490/20018] gen_loss 0.2919, rec_loss 0.0354, lpips_loss 0.2139, g_loss 0.0078, disc_weight 0.4000, disc_adaptive_weight 5.3728, d_loss 0.4001, logits_real -0.0077, logits_fake -0.0080,
Train Epoch: [4/5] Iters:[4500/20018] gen_loss 0.2876, rec_loss 0.0353, lpips_loss 0.2138, g_loss 0.0074, disc_weight 0.4000, disc_adaptive_weight 5.0867, d_loss 0.4002, logits_real -0.0076, logits_fake -0.0076,
Train Epoch: [4/5] Iters:[4510/20018] gen_loss 0.2855, rec_loss 0.0349, lpips_loss 0.2138, g_loss 0.0072, disc_weight 0.4000, disc_adaptive_weight 5.0408, d_loss 0.4002, logits_real -0.0072, logits_fake -0.0073,
Train Epoch: [4/5] Iters:[4520/20018] gen_loss 0.2839, rec_loss 0.0351, lpips_loss 0.2144, g_loss 0.0071, disc_weight 0.4000, disc_adaptive_weight 4.8253, d_loss 0.4002, logits_real -0.0070, logits_fake -0.0071,
Train Epoch: [4/5] Iters:[4530/20018] gen_loss 0.2811, rec_loss 0.0341, lpips_loss 0.2122, g_loss 0.0073, disc_weight 0.4000, disc_adaptive_weight 4.7035, d_loss 0.4001, logits_real -0.0071, logits_fake -0.0073,
Train Epoch: [4/5] Iters:[4540/20018] gen_loss 0.2809, rec_loss 0.0345, lpips_loss 0.2130, g_loss 0.0072, disc_weight 0.4000, disc_adaptive_weight 4.5757, d_loss 0.4001, logits_real -0.0068, logits_fake -0.0072,
Train Epoch: [4/5] Iters:[4550/20018] gen_loss 0.2833, rec_loss 0.0341, lpips_loss 0.2127, g_loss 0.0073, disc_weight 0.4000, disc_adaptive_weight 4.8816, d_loss 0.4001, logits_real -0.0067, logits_fake -0.0072,
Train Epoch: [4/5] Iters:[4560/20018] gen_loss 0.2825, rec_loss 0.0340, lpips_loss 0.2125, g_loss 0.0073, disc_weight 0.4000, disc_adaptive_weight 4.8851, d_loss 0.4001, logits_real -0.0066, logits_fake -0.0072,
Train Epoch: [4/5] Iters:[4570/20018] gen_loss 0.2816, rec_loss 0.0337, lpips_loss 0.2119, g_loss 0.0072, disc_weight 0.4000, disc_adaptive_weight 4.9248, d_loss 0.4001, logits_real -0.0065, logits_fake -0.0070,
Train Epoch: [4/5] Iters:[4580/20018] gen_loss 0.2841, rec_loss 0.0343, lpips_loss 0.2135, g_loss 0.0070, disc_weight 0.4000, disc_adaptive_weight 5.1092, d_loss 0.4001, logits_real -0.0063, logits_fake -0.0067,
Train Epoch: [4/5] Iters:[4590/20018] gen_loss 0.2831, rec_loss 0.0342, lpips_loss 0.2142, g_loss 0.0067, disc_weight 0.4000, disc_adaptive_weight 5.0881, d_loss 0.4001, logits_real -0.0061, logits_fake -0.0064,
Train Epoch: [4/5] Iters:[4600/20018] gen_loss 0.2812, rec_loss 0.0351, lpips_loss 0.2146, g_loss 0.0064, disc_weight 0.4000, disc_adaptive_weight 4.8616, d_loss 0.4001, logits_real -0.0059, logits_fake -0.0062,
Train Epoch: [4/5] Iters:[4610/20018] gen_loss 0.2795, rec_loss 0.0351, lpips_loss 0.2144, g_loss 0.0063, disc_weight 0.4000, disc_adaptive_weight 4.7045, d_loss 0.4001, logits_real -0.0058, logits_fake -0.0061,
Train Epoch: [4/5] Iters:[4620/20018] gen_loss 0.2792, rec_loss 0.0351, lpips_loss 0.2142, g_loss 0.0061, disc_weight 0.4000, disc_adaptive_weight 4.8566, d_loss 0.4001, logits_real -0.0056, logits_fake -0.0059,
Train Epoch: [4/5] Iters:[4630/20018] gen_loss 0.2751, rec_loss 0.0345, lpips_loss 0.2134, g_loss 0.0058, disc_weight 0.4000, disc_adaptive_weight 4.6379, d_loss 0.4001, logits_real -0.0054, logits_fake -0.0058,
Train Epoch: [4/5] Iters:[4640/20018] gen_loss 0.2749, rec_loss 0.0346, lpips_loss 0.2132, g_loss 0.0058, disc_weight 0.4000, disc_adaptive_weight 4.6720, d_loss 0.4001, logits_real -0.0055, logits_fake -0.0058,
